Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
1.7,FEA,4.7,4.8,5.8,4.4,2.7,5.9,6.1,7.5,5.7,7.8,3.3,3.5,2.5,2.7
1.7,FEA/2,4.5,4.2,5.1,4.2,2.4,5.5,5.7,6.7,5.4,7.4,2.8,3.2,2.3,2.5
1.9,Experiment,9.9,2.7,9.9,5,NaN,5,6.2,6.2,3.6,3.6,3.1,3.1,2.1,2.1
1.9,Efthymiou,8.8,4.7,NaN,4.2,2.1,NaN,6.7,NaN,4.8,NaN,3.9,NaN,3.6,NaN
1.9,FEA,6.5,3.6,7.1,6,3.7,6.1,5.1,5.2,4.7,4.7,2.8,2.9,2.8,2.8
1.9,FEA/2,7.3,4.5,7.5,6.3,4.1,6.9,5.8,5.8,5,5.2,3.1,3.2,3,3.1
11-12,Experiment,4.7,NaN,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-12,Efthymiou,4.5,2.2,NaN,5.4,3,NaN,2.3,NaN,3,NaN,1.5,NaN,2.2,NaN
11-12,FEA,3.8,1.9,3.9,5.4,2.7,5.4,2.1,2.1,2.6,2.6,1.3,1.3,2.1,2.1
11-12,FEA/2,4.7,2.1,4.7,7.6,3.9,7.6,2.5,2.5,3.6,3.6,1.5,1.5,2.7,2.7
13-17,Experiment,7.7,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-17,Efthymiou,5.9,2.9,NaN,6,3,NaN,3,NaN,3.3,NaN,1.8,NaN,2.3,NaN
13-17,FEA,5,2.3,5,5.7,2.5,5.7,2.6,2.6,2.6,2.7,1.7,1.7,2.1,2.1
13-17,FEA/2,6.2,2.8,6.2,8.7,3.8,8.7,3.1,3.1,3.9,3.9,1.9,1.9,2.8,2.9
2-3,Experiment,5.7,NaN,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-3,Efthymiou,6.8,2.2,NaN,6.5,2.4,NaN,5.2,NaN,5,NaN,2.5,NaN,2.5,NaN
2-3,FEA,5.4,1.8,5.6,6.6,1.7,6.7,4.2,4.2,4.9,5,1.6,1.7,2,2.4
2-3,FEA/2,6.5,2.1,6.5,8.5,2.8,8.6,5,5,6.4,6.4,1.9,1.9,2.8,2.8
4-10,Experiment,6.7,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4-10,Efthymiou,7.2,2.2,NaN,6.9,2.3,NaN,5.5,NaN,5.4,NaN,2.3,NaN,2.6,NaN
4-10,FEA,5.9,1.8,5.9,6.8,1.6,6.9,4.6,4.6,5.2,5.2,1.6,1.8,2,2.4
4-10,FEA/2,6.8,2,6.8,8.9,2.7,8.9,5.3,5.3,6.8,6.8,1.9,2,2.9,2.9
SH-A,Experiment,17.3,NaN,17.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SH-A,Efthymiou,15.8,4.2,NaN,10.4,2.2,NaN,10.5,NaN,8.1,NaN,4.4,NaN,3.5,NaN
SH-A,FEA,12.1,3.1,12.3,12.3,1.9,12.3,8.1,8.1,8.2,8.2,3.1,3.2,3.1,3.3
SH-A,FEA/2,14.6,3.7,14.9,14.6,2.4,14.6,9.7,9.8,9.7,9.7,3.7,3.8,3.6,3.9
